1,1,1,2876,3,12,1,2021-03-16 01:50:04.99
2,1,1,627,10,15,1,2021-03-16 01:50:04.99
3,1,1,2429,8,10,1,2021-03-16 01:50:04.991
4,1,1,2840,6,10,1,2021-03-16 01:50:04.991
5,1,1,266,10,9,1,2021-03-16 01:50:04.991
6,1,1,2747,10,5,1,2021-03-16 01:50:04.991
7,1,1,476,10,10,1,2021-03-16 01:50:04.991
8,1,1,1719,4,9,1,2021-03-16 01:50:04.991
9,1,1,1537,3,11,1,2021-03-16 01:50:04.991
10,1,1,2948,3,10,1,2021-03-16 01:50:04.991
11,1,1,129,5,11,1,2021-03-16 01:50:04.991
12,1,1,932,1,10,1,2021-03-16 01:50:04.991
13,1,1,561,5,9,1,2021-03-16 01:50:04.991
14,1,1,580,5,9,1,2021-03-16 01:50:04.991
15,1,1,2447,8,6,1,2021-03-16 01:50:04.991
16,1,1,2319,4,10,1,2021-03-16 01:50:04.991
17,1,1,2131,4,10,1,2021-03-16 01:50:04.991
18,1,1,455,4,11,1,2021-03-16 01:50:04.991
19,1,1,2744,10,14,1,2021-03-16 01:50:04.991
20,1,1,596,9,5,1,2021-03-16 01:50:04.991
21,1,1,249,5,6,1,2021-03-16 01:50:04.991
22,1,1,1042,9,11,1,2021-03-16 01:50:04.991
23,1,1,298,3,9,1,2021-03-16 01:50:04.992
24,1,1,2820,1,10,1,2021-03-16 01:50:04.992
25,1,1,1409,10,13,1,2021-03-16 01:50:04.992
26,1,1,549,4,11,1,2021-03-16 01:50:04.992
27,1,1,1274,10,7,1,2021-03-16 01:50:04.992
28,1,1,568,3,15,1,2021-03-16 01:50:04.992
29,1,1,1675,2,13,1,2021-03-16 01:50:04.992
30,1,1,380,8,13,1,2021-03-16 01:50:04.992
31,1,1,2913,7,7,1,2021-03-16 01:50:04.992
32,1,1,580,9,5,1,2021-03-16 01:50:04.992
33,1,1,2512,4,9,1,2021-03-16 01:50:04.992
34,1,1,2313,3,13,1,2021-03-16 01:50:04.992
35,1,1,574,7,9,1,2021-03-16 01:50:04.992
36,1,1,2365,8,11,1,2021-03-16 01:50:04.992
37,1,1,623,7,13,1,2021-03-16 01:50:04.992
38,1,1,1731,9,5,1,2021-03-16 01:50:04.992
39,1,1,656,1,11,1,2021-03-16 01:50:04.992
40,1,1,1629,6,8,1,2021-03-16 01:50:04.993
41,1,1,944,4,7,1,2021-03-16 01:50:04.993
42,1,1,1401,2,13,1,2021-03-16 01:50:04.993
43,1,1,2413,10,12,1,2021-03-16 01:50:04.993
44,1,1,1934,9,15,1,2021-03-16 01:50:04.993
